Country,CountryCode,Rural,Military,Cell,Fertility,Measles,InfMort,LifeExp,TotalGunDeathsaths per 100k,Gunsper100,logCO2,logGNI,logEnergyUse,logImports,logExports
United Arab Emirates,ARE,14.196,,214.7349102,1.748,99,6.6,77.256,,,3.152822451,10.59663473,8.957926949,4.327367605,4.615150357
United Kingdom,GBR,17.165,1.816510476,119.9773474,1.8,92,3.7,80.95609756,0.23,6.6,1.886681769,10.65419584,7.929070345,3.412041215,3.341278504
United States,USA,18.212,3.222138841,122.8758723,1.8,92,5.6,78.6902439,10.54,101.05,2.808836776,10.9472916,8.847291445,2.687119335,2.475750058
Uruguay,URY,4.54,1.873463798,148.5693114,1.995,95,7.9,77.493,11.52,31.8,0.729069586,9.629050707,7.228586986,2.989849141,3.064677172
Uzbekistan,UZB,63.521,,73.98333916,2.455,99,21.4,71.314,,,1.258666294,7.705262475,,3.029724039,2.94075661
Vanuatu,VUT,73.559,,80.84370678,3.275,53,23.1,72.133,,,-0.363853161,7.962067309,,,
"Venezuela, RB",VEN,10.957,,87.43264222,2.317,88,14,74.545,59.13,10.7,1.812492641,,,,
Vietnam,VNM,65.764,2.442960753,127.5260848,1.954,99,17.3,76.253,,,0.643728838,7.630461262,,4.511544319,4.53928611
Virgin Islands (U.S.),VIR,4.541,,,2.09,,,79.26829268,,,,,,,
West Bank and Gaza,PSE,24.519,,77.50821643,4.008,,16.6,73.473,,,,8.125630988,,4.039654654,2.875519973
"Yemen, Rep.",YEM,64.813,,59.57413032,3.995,70,43.2,64.953,,,-0.035798659,6.937314081,,3.399564198,1.274171287
Zambia,ZMB,58.621,1.429305223,72.42933835,4.981,93,43.8,61.874,,,-0.946051366,7.215239979,,3.654130306,3.564581516
Zimbabwe,ZWE,67.723,2.154427516,79.74388438,3.76,95,40,61.163,0.39,4.6,-0.127883549,6.791221463,,3.655027029,3.205097064
