Country,No_Point_Helping,Air_Pollution_Industry,Global_Warming_Effect,Gender,Age,Marital_Status,Class,Political_Views,Location
RUS-Russia,3,2,2,Female,21,"Single,never married",,,"Suburb,city,town,county seat"
RUS-Russia,4,1,2,Female,73,Widowed,Lower class,,"Suburb,city,town,county seat"
RUS-Russia,4,1,2,Female,34,"Marr,liv as mar",Lower middle class,"Left,center left","Suburb,city,town,county seat"
RUS-Russia,4,2,,Female,54,"Marr,liv as mar",Working class,Far left etc,"Suburb,city,town,county seat"
RUS-Russia,4,1,2,Female,70,Widowed,Working class,"No party,no preference","Suburb,city,town,county seat"
RUS-Russia,4,1,1,Female,,"Single,never married",Middle class,Far left etc,"Suburb,city,town,county seat"
RUS-Russia,4,3,,Female,66,Widowed,Lower class,"No party,no preference","Suburb,city,town,county seat"
RUS-Russia,,,,Female,70,Widowed,,"No party,no preference","Suburb,city,town,county seat"
RUS-Russia,5,1,,Female,34,"Single,never married",Lower middle class,"Center,liberal","Suburb,city,town,county seat"
RUS-Russia,5,2,,Female,66,Widowed,,,"Suburb,city,town,county seat"
RUS-Russia,4,2,,Female,64,Widowed,Lower class,Far left etc,"Suburb,city,town,county seat"
RUS-Russia,4,2,2,Female,,"Single,never married",,"No party,no preference","Suburb,city,town,county seat"
RUS-Russia,5,2,,Female,32,Divorced,Lower class,,"Suburb,city,town,county seat"
RUS-Russia,3,1,2,Female,47,"Marr,liv as mar",Working class,"Left,center left","Suburb,city,town,county seat"
RUS-Russia,5,1,,Female,30,Divorced,Middle class,"No party,no preference","Suburb,city,town,county seat"
RUS-Russia,,1,,Female,76,Widowed,Working class,"No party,no preference","Suburb,city,town,county seat"
RUS-Russia,4,1,,Female,68,Widowed,Working class,Far left etc,"Suburb,city,town,county seat"
RUS-Russia,2,1,1,Female,62,Widowed,Middle class,Far left etc,"Suburb,city,town,county seat"
RUS-Russia,4,1,2,Female,78,Widowed,Working class,,"Suburb,city,town,county seat"
RUS-Russia,,2,2,Female,32,"Marr,liv as mar",,"No party,no preference","Suburb,city,town,county seat"
RUS-Russia,,2,2,Female,,"Single,never married",,"Center,liberal","Suburb,city,town,county seat"
CDN-Canada,3,3,2,Female,58,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,,,Female,26,"Single,never married",,,"Suburb,city,town,county seat"
CDN-Canada,2,2,2,Female,20,"Single,never married",Upper middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,2,4,Female,76,Widowed,,,"Suburb,city,town,county seat"
CDN-Canada,2,3,3,Female,71,"Single,never married",Lower class,,"Suburb,city,town,county seat"
CDN-Canada,2,2,3,Female,76,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,1,2,Female,56,Divorced,,,"Suburb,city,town,county seat"
CDN-Canada,2,1,3,Female,70,Divorced,,,"Suburb,city,town,county seat"
CDN-Canada,2,2,,Female,56,Divorced,Lower class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,1,Female,56,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,3,4,Female,,Widowed,,,"Suburb,city,town,county seat"
CDN-Canada,2,,,Female,83,Widowed,Lower class,,"Suburb,city,town,county seat"
CDN-Canada,4,2,1,Female,53,Divorced,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,5,2,,Female,37,"Marr,liv as mar",Working class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,3,Female,51,"Marr,liv as mar",Working class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,1,Female,90,"Single,never married",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,2,2,Female,76,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,5,2,3,Female,39,Divorced,,,"Suburb,city,town,county seat"
CDN-Canada,2,3,3,Female,73,Widowed,Upper middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,2,Female,61,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,5,1,1,Female,21,"Single,never married",Working class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,3,Female,25,"Single,never married",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,2,1,Female,59,Divorced,,,"Suburb,city,town,county seat"
CDN-Canada,1,2,2,Female,55,Widowed,Lower class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,2,Female,63,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,2,Female,78,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,4,1,3,Female,75,"Marr,liv as mar",Upper middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,1,Female,56,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,3,Female,81,"Single,never married",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,3,Female,,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,2,Female,52,"Marr,liv as mar",Lower middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,2,Female,68,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,3,1,1,Female,79,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,1,Female,53,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,4,3,3,Female,65,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,2,,Female,76,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,1,Female,73,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,,Female,44,Widowed,,,"Suburb,city,town,county seat"
CDN-Canada,4,1,1,Female,67,Widowed,,,"Suburb,city,town,county seat"
CDN-Canada,4,2,3,Female,36,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,2,2,Female,,"Single,never married",Working class,,"Suburb,city,town,county seat"
CDN-Canada,2,1,1,Female,58,Widowed,Working class,,"Suburb,city,town,county seat"
CDN-Canada,4,2,3,Female,65,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,2,Female,44,Widowed,,,"Suburb,city,town,county seat"
CDN-Canada,4,3,3,Female,61,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,2,3,Female,64,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,4,2,3,Female,78,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,1,Female,72,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,2,2,Female,59,Widowed,Working class,,"Suburb,city,town,county seat"
CDN-Canada,3,1,,Female,,Divorced,Working class,,"Suburb,city,town,county seat"
CDN-Canada,5,2,4,Female,66,"Marr,liv as mar",Working class,,"Suburb,city,town,county seat"
CDN-Canada,2,3,3,Female,66,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,2,3,1,Female,74,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,3,3,3,Female,,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,3,2,Female,65,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,2,Female,56,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,3,3,Female,39,"Marr,liv as mar",Working class,,"Suburb,city,town,county seat"
CDN-Canada,4,2,2,Female,54,Divorced,Lower class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,1,Female,67,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,3,2,Female,71,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,2,Female,51,"Marr,liv as mar",Working class,,"Suburb,city,town,county seat"
CDN-Canada,2,3,2,Female,82,Widowed,,,"Suburb,city,town,county seat"
CDN-Canada,4,3,3,Female,60,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,2,3,Female,,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,1,3,4,Female,69,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,1,3,,Female,60,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,3,3,Female,66,Widowed,,,"Suburb,city,town,county seat"
CDN-Canada,4,1,3,Female,22,"Single,never married",Upper middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,,,Female,84,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,4,3,4,Female,40,Divorced,Lower class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,1,Female,65,Divorced,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,2,2,2,Female,58,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,2,,3,Female,68,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,,2,,Female,70,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
CDN-Canada,5,1,4,Female,35,"Marr,liv as mar",Lower class,,"Suburb,city,town,county seat"
CDN-Canada,1,3,4,Female,75,"Separated,but married",,,"Suburb,city,town,county seat"
CDN-Canada,4,2,2,Female,75,Widowed,Lower class,,"Suburb,city,town,county seat"
CDN-Canada,1,2,5,Female,55,"Marr,liv as mar",Working class,,"Suburb,city,town,county seat"
CDN-Canada,4,1,1,Female,42,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,3,2,2,Female,52,Widowed,Lower class,,"Suburb,city,town,county seat"
CDN-Canada,1,3,4,Female,84,Widowed,Middle class,,"Suburb,city,town,county seat"
CDN-Canada,,,,Female,,Divorced,Working class,,"Suburb,city,town,county seat"
CDN-Canada,2,1,3,Female,32,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,4,2,2,Female,,"Marr,liv as mar",,,"Suburb,city,town,county seat"
CDN-Canada,4,2,2,Female,82,Widowed,,,"Suburb,city,town,county seat"
CDN-Canada,1,2,2,Female,41,"Separated,but married",Middle class,,"Suburb,city,town,county seat"
J-Japan,2,1,1,Female,38,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,,1,,Female,55,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,3,1,Female,67,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,,,Female,,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,3,2,Female,69,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
J-Japan,1,2,2,Female,52,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
J-Japan,4,3,2,Female,55,"Marr,liv as mar",Lower middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,2,3,2,Female,17,"Single,never married",Middle class,,"Suburb,city,town,county seat"
J-Japan,1,1,1,Female,54,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,1,Female,20,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,3,2,Female,22,"Single,never married",Middle class,,"Suburb,city,town,county seat"
J-Japan,1,1,1,Female,79,Widowed,Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,2,Female,50,"Marr,liv as mar",Upper middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,5,2,2,Female,52,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,,3,Female,59,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,1,2,Female,42,"Marr,liv as mar",Upper middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,2,2,Female,53,"Marr,liv as mar",Lower middle class,,"Suburb,city,town,county seat"
J-Japan,1,,,Female,67,"Marr,liv as mar",Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,2,Female,50,"Marr,liv as mar",,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,2,Female,56,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,3,3,Female,64,Widowed,Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,5,2,2,Female,58,"Marr,liv as mar",Lower class,Far left etc,"Suburb,city,town,county seat"
J-Japan,4,2,2,Female,43,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,3,2,2,Female,37,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,2,2,Female,27,"Marr,liv as mar",Lower middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,4,1,3,Female,32,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,,Female,41,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,3,3,Female,,"Single,never married",Middle class,,"Suburb,city,town,county seat"
J-Japan,5,1,1,Female,68,Widowed,Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,3,3,Female,32,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,2,1,Female,36,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,2,2,Female,30,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,5,1,1,Female,46,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,1,1,Female,45,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
J-Japan,5,3,2,Female,76,Widowed,Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,3,4,Female,53,"Marr,liv as mar",Lower middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,1,1,3,Female,41,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,2,Female,78,Widowed,Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,5,1,2,Female,24,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,2,Female,78,Widowed,Middle class,Far left etc,"Suburb,city,town,county seat"
J-Japan,3,3,3,Female,71,Widowed,,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,3,Female,29,"Single,never married",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,67,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,5,2,2,Female,57,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,1,Female,55,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,,3,,Female,76,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,2,Female,49,Divorced,Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,3,3,Female,73,"Marr,liv as mar",Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,1,Female,58,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,2,Female,69,"Marr,liv as mar",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,1,1,2,Female,45,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,2,3,Female,17,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,,4,,Female,87,Widowed,Upper middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,1,Female,78,Widowed,Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,1,Female,71,"Marr,liv as mar",Middle class,Far left etc,"Suburb,city,town,county seat"
J-Japan,1,2,3,Female,24,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,3,Female,71,Widowed,Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,,Female,47,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,2,3,Female,70,"Marr,liv as mar",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,4,2,1,Female,45,Widowed,Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,1,Female,19,"Single,never married",Upper middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,1,1,Female,26,"Single,never married",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,4,1,2,Female,25,Divorced,Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,66,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,3,3,Female,58,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,5,,,Female,72,"Marr,liv as mar",,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,3,3,Female,29,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,5,1,3,Female,32,"Single,never married",,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,1,Female,63,"Marr,liv as mar",Upper middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,3,3,Female,41,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,1,Female,73,Widowed,Upper middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,3,2,Female,35,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,5,2,2,Female,45,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,1,1,Female,42,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,37,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,3,Female,52,"Marr,liv as mar",Lower middle class,Far left etc,"Suburb,city,town,county seat"
J-Japan,2,2,2,Female,36,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,2,Female,73,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,,1,,Female,61,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,1,Female,71,Widowed,Lower class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,1,3,3,Female,31,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,4,3,Female,,"Single,never married",Middle class,,"Suburb,city,town,county seat"
J-Japan,5,2,2,Female,54,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,3,3,Female,72,Widowed,Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,2,2,Female,48,Divorced,Lower middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,3,,,Female,47,"Marr,liv as mar",Middle class,,"Suburb,city,town,county seat"
J-Japan,1,2,1,Female,44,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,,,,Female,77,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,76,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,4,3,2,Female,17,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,4,Female,22,"Single,never married",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,3,3,Female,72,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,1,3,2,Female,57,Widowed,Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,1,3,,Female,51,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,1,4,Female,63,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,3,2,3,Female,61,Widowed,Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,2,Female,38,Divorced,Lower middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,4,2,1,Female,67,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,,Female,82,Widowed,,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,2,Female,75,"Marr,liv as mar",Upper middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,,,,Female,62,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,,1,1,Female,62,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,2,,Female,60,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,3,1,Female,22,"Single,never married",Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,3,Female,60,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,2,2,Female,59,Widowed,Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,2,3,Female,70,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,2,Female,37,"Marr,liv as mar",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,3,2,2,Female,63,Widowed,Lower middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,,2,,Female,65,"Marr,liv as mar",Lower class,,"Suburb,city,town,county seat"
J-Japan,1,1,3,Female,44,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,3,Female,75,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,1,2,Female,28,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,2,2,Female,49,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,2,2,Female,27,"Marr,liv as mar",,"Center,liberal","Suburb,city,town,county seat"
J-Japan,3,1,1,Female,30,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,,Female,54,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,4,2,1,Female,29,"Marr,liv as mar",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,3,1,1,Female,55,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,1,Female,60,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,39,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,4,2,1,Female,57,"Marr,liv as mar",Lower middle class,,"Suburb,city,town,county seat"
J-Japan,1,2,,Female,43,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,2,Female,50,"Marr,liv as mar",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,50,"Marr,liv as mar",Lower middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,,3,2,Female,87,Widowed,Lower middle class,,"Suburb,city,town,county seat"
J-Japan,1,1,2,Female,17,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,3,3,Female,69,Widowed,Upper middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,2,Female,74,"Marr,liv as mar",Upper middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,1,2,1,Female,80,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,5,1,1,Female,27,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,3,Female,31,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,,Female,61,Widowed,Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,2,Female,83,Widowed,,,"Suburb,city,town,county seat"
J-Japan,4,2,3,Female,25,"Single,never married",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,5,2,2,Female,47,Divorced,Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,2,2,3,Female,76,Widowed,Middle class,"Left,center left","Suburb,city,town,county seat"
J-Japan,1,3,1,Female,69,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,1,1,3,Female,17,"Single,never married",Upper middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,25,"Marr,liv as mar",Upper middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,,,3,Female,,"Single,never married",Middle class,,"Suburb,city,town,county seat"
J-Japan,,,,Female,75,Widowed,Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,2,3,Female,58,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,3,Female,43,"Marr,liv as mar",Upper middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,2,Female,52,"Marr,liv as mar",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,1,2,1,Female,40,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,3,2,Female,26,"Single,never married",Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,60,"Marr,liv as mar",Upper middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,3,3,1,Female,32,"Marr,liv as mar",Upper middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,3,1,Female,60,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,1,Female,40,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,3,Female,28,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,2,Female,28,"Marr,liv as mar",Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,3,2,3,Female,34,Divorced,Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,3,2,Female,52,"Marr,liv as mar",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,5,1,1,Female,50,Widowed,Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,1,5,Female,73,Widowed,Lower class,"Left,center left","Suburb,city,town,county seat"
J-Japan,2,3,2,Female,42,"Marr,liv as mar",Middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,1,2,2,Female,51,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,1,Female,19,"Single,never married",,"Center,liberal","Suburb,city,town,county seat"
J-Japan,2,2,2,Female,51,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,3,Female,67,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
J-Japan,1,2,2,Female,48,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,1,2,Female,49,"Marr,liv as mar",Middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,2,Female,25,"Marr,liv as mar",Lower middle class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,1,2,2,Female,57,"Marr,liv as mar",Lower middle class,"Center,liberal","Suburb,city,town,county seat"
J-Japan,4,2,2,Female,42,Divorced,Lower class,"No party,no preference","Suburb,city,town,county seat"
J-Japan,2,2,2,Female,59,"Marr,liv as mar",Middle class,"Right,conservative","Suburb,city,town,county seat"
